,STATION,NAME,DATE,PRCP,TAVG,year,month,month_dt
18,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2001-07,2.66,73.2,2001,7,2001-07-01
19,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2001-08,8.77,73.1,2001,8,2001-08-01
20,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2001-09,5.27,62.5,2001,9,2001-09-01
21,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2001-10,8.2,52.1,2001,10,2001-10-01
22,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2001-11,1.35,48.5,2001,11,2001-11-01
23,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2001-12,1.15,34.8,2001,12,2001-12-01
24,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2002-01,1.46,31.9,2002,1,2002-01-01
25,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2002-02,1.12,33.3,2002,2,2002-02-01
26,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2002-03,2.5,34.0,2002,3,2002-03-01
27,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2002-04,3.19,48.8,2002,4,2002-04-01
28,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2002-05,4.2,53.4,2002,5,2002-05-01
29,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2002-06,3.69,69.1,2002,6,2002-06-01
30,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2002-07,1.43,75.8,2002,7,2002-07-01
31,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2002-08,8.12,73.1,2002,8,2002-08-01
32,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2002-09,3.4,66.5,2002,9,2002-09-01
33,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2002-10,1.61,50.5,2002,10,2002-10-01
34,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2002-11,1.68,38.4,2002,11,2002-11-01
35,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2002-12,1.29,30.2,2002,12,2002-12-01
36,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2003-01,0.42,20.6,2003,1,2003-01-01
37,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2003-02,0.15,22.8,2003,2,2003-02-01
38,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2003-03,1.86,36.4,2003,3,2003-03-01
39,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2003-04,2.54,45.6,2003,4,2003-04-01
40,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2003-05,6.84,53.8,2003,5,2003-05-01
41,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2003-06,1.18,63.8,2003,6,2003-06-01
42,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2003-07,5.13,71.7,2003,7,2003-07-01
43,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2003-08,1.2,73.9,2003,8,2003-08-01
44,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2003-09,2.02,63.4,2003,9,2003-09-01
45,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2003-10,2.03,51.6,2003,10,2003-10-01
46,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2003-11,5.59,42.1,2003,11,2003-11-01
47,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2003-12,1.91,32.3,2003,12,2003-12-01
48,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2004-01,1.13,20.2,2004,1,2004-01-01
49,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2004-02,0.89,26.7,2004,2,2004-02-01
50,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2004-03,3.66,42.3,2004,3,2004-03-01
51,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2004-04,1.45,49.4,2004,4,2004-04-01
52,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2004-05,9.43,58.1,2004,5,2004-05-01
53,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2004-06,3.2,66.0,2004,6,2004-06-01
54,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2004-07,3.14,70.8,2004,7,2004-07-01
55,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2004-08,3.81,67.4,2004,8,2004-08-01
56,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2004-09,0.23,66.4,2004,9,2004-09-01
57,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2004-10,2.63,53.2,2004,10,2004-10-01
58,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2004-11,3.53,44.7,2004,11,2004-11-01
59,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2004-12,2.31,28.5,2004,12,2004-12-01
60,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2005-01,4.12,25.7,2005,1,2005-01-01
61,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2005-02,1.9,32.5,2005,2,2005-02-01
62,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2005-03,1.28,34.4,2005,3,2005-03-01
63,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2005-04,1.06,50.1,2005,4,2005-04-01
64,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2005-05,1.8,56.2,2005,5,2005-05-01
65,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2005-06,0.78,73.0,2005,6,2005-06-01
66,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2005-07,3.03,74.0,2005,7,2005-07-01
67,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2005-08,2.32,73.8,2005,8,2005-08-01
68,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2005-09,2.78,69.0,2005,9,2005-09-01
69,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2005-10,0.93,54.8,2005,10,2005-10-01
70,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2005-11,2.57,42.0,2005,11,2005-11-01
71,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2005-12,1.82,23.9,2005,12,2005-12-01
72,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2006-01,3.22,35.1,2006,1,2006-01-01
73,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2006-02,0.65,27.8,2006,2,2006-02-01
74,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2006-03,2.53,37.6,2006,3,2006-03-01
75,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2006-04,3.17,52.0,2006,4,2006-04-01
76,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2006-05,3.67,58.9,2006,5,2006-05-01
77,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2006-06,2.1,66.5,2006,6,2006-06-01
78,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2006-07,2.41,74.9,2006,7,2006-07-01
79,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2006-08,3.3,73.1,2006,8,2006-08-01
80,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2006-09,5.32,61.8,2006,9,2006-09-01
81,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2006-10,7.75,47.9,2006,10,2006-10-01
82,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2006-11,3.06,43.1,2006,11,2006-11-01
83,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2006-12,3.3,33.3,2006,12,2006-12-01
84,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2007-01,1.65,28.8,2007,1,2007-01-01
85,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2007-02,2.06,17.8,2007,2,2007-02-01
86,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2007-03,3.14,41.1,2007,3,2007-03-01
87,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2007-04,4.16,45.6,2007,4,2007-04-01
88,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2007-05,2.19,60.5,2007,5,2007-05-01
89,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2007-06,2.31,69.3,2007,6,2007-06-01
90,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2007-07,2.84,71.7,2007,7,2007-07-01
91,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2007-08,12.76,73.8,2007,8,2007-08-01
92,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2007-09,2.02,67.0,2007,9,2007-09-01
93,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2007-10,1.94,58.5,2007,10,2007-10-01
94,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2007-11,1.28,39.9,2007,11,2007-11-01
95,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2007-12,5.02,28.0,2007,12,2007-12-01
96,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2008-01,2.13,24.6,2008,1,2008-01-01
97,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2008-02,4.7,22.5,2008,2,2008-02-01
98,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2008-03,2.47,33.9,2008,3,2008-03-01
99,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2008-04,3.86,48.7,2008,4,2008-04-01
100,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2008-05,3.36,55.1,2008,5,2008-05-01
101,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2008-06,4.72,69.2,2008,6,2008-06-01
102,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2008-07,4.66,72.9,2008,7,2008-07-01
103,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2008-08,1.2,71.5,2008,8,2008-08-01
104,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2008-09,12.74,66.0,2008,9,2008-09-01
105,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2008-10,2.59,51.7,2008,10,2008-10-01
106,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2008-11,1.32,39.5,2008,11,2008-11-01
107,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2008-12,6.57,22.3,2008,12,2008-12-01
108,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2009-01,1.53,16.3,2009,1,2009-01-01
109,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2009-02,3.07,27.6,2009,2,2009-02-01
110,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2009-03,4.8,37.7,2009,3,2009-03-01
111,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2009-04,4.81,45.1,2009,4,2009-04-01
112,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2009-05,3.98,58.2,2009,5,2009-05-01
113,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2009-06,6.8,65.4,2009,6,2009-06-01
114,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2009-07,1.28,68.5,2009,7,2009-07-01
115,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2009-08,5.24,70.1,2009,8,2009-08-01
116,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2009-09,0.8,64.3,2009,9,2009-09-01
117,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2009-10,7.42,48.8,2009,10,2009-10-01
118,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2009-11,1.56,45.9,2009,11,2009-11-01
119,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2009-12,3.58,27.9,2009,12,2009-12-01
120,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2010-01,0.93,22.7,2010,1,2010-01-01
121,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2010-02,1.87,26.9,2010,2,2010-02-01
122,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2010-03,1.5,39.2,2010,3,2010-03-01
123,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2010-04,2.71,53.6,2010,4,2010-04-01
124,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2010-05,6.37,60.7,2010,5,2010-05-01
125,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2010-06,5.66,70.6,2010,6,2010-06-01
126,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2010-07,5.51,77.3,2010,7,2010-07-01
127,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2010-08,2.54,75.6,2010,8,2010-08-01
128,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2010-09,3.33,64.5,2010,9,2010-09-01
129,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2010-10,1.15,55.2,2010,10,2010-10-01
130,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2010-11,1.93,42.5,2010,11,2010-11-01
131,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2010-12,2.52,23.4,2010,12,2010-12-01
132,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2011-01,1.03,22.2,2011,1,2011-01-01
133,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2011-02,,26.9,2011,2,2011-02-01
134,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2011-03,,36.0,2011,3,2011-03-01
135,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2011-04,5.83,46.3,2011,4,2011-04-01
136,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2011-05,7.78,56.8,2011,5,2011-05-01
137,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2011-06,2.61,68.0,2011,6,2011-06-01
138,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2011-07,7.14,77.7,2011,7,2011-07-01
139,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2011-08,4.56,72.8,2011,8,2011-08-01
140,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2011-09,4.63,63.4,2011,9,2011-09-01
141,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2011-10,2.46,53.9,2011,10,2011-10-01
142,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2011-11,3.32,44.8,2011,11,2011-11-01
143,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2011-12,2.48,35.0,2011,12,2011-12-01
144,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2012-01,2.09,29.1,2012,1,2012-01-01
145,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2012-02,1.52,32.8,2012,2,2012-02-01
146,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2012-03,2.31,51.5,2012,3,2012-03-01
147,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2012-04,2.9,48.5,2012,4,2012-04-01
148,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2012-05,2.17,62.5,2012,5,2012-05-01
149,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2012-06,2.7,71.1,2012,6,2012-06-01
150,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2012-07,4.18,80.7,2012,7,2012-07-01
151,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2012-08,4.9,72.6,2012,8,2012-08-01
152,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2012-09,2.27,63.6,2012,9,2012-09-01
153,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2012-10,2.7,51.0,2012,10,2012-10-01
154,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2012-11,0.79,40.4,2012,11,2012-11-01
155,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2012-12,2.91,36.5,2012,12,2012-12-01
156,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2013-01,3.23,26.8,2013,1,2013-01-01
157,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2013-02,3.17,24.8,2013,2,2013-02-01
158,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2013-03,1.81,31.7,2013,3,2013-03-01
159,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2013-04,6.28,45.9,2013,4,2013-04-01
160,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2013-05,4.94,59.3,2013,5,2013-05-01
161,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2013-06,5.94,66.8,2013,6,2013-06-01
162,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2013-07,2.78,72.1,2013,7,2013-07-01
163,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2013-08,1.46,71.6,2013,8,2013-08-01
164,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2013-09,2.36,65.7,2013,9,2013-09-01
165,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2013-10,2.18,52.2,2013,10,2013-10-01
166,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2013-11,2.78,37.6,2013,11,2013-11-01
167,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2013-12,1.72,23.0,2013,12,2013-12-01
168,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2014-01,3.02,14.2,2014,1,2014-01-01
169,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2014-02,2.72,16.7,2014,2,2014-02-01
170,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2014-03,1.35,29.1,2014,3,2014-03-01
171,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2014-04,2.89,46.3,2014,4,2014-04-01
172,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2014-05,7.09,58.3,2014,5,2014-05-01
173,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2014-06,5.88,67.1,2014,6,2014-06-01
174,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2014-07,4.27,69.2,2014,7,2014-07-01
175,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2014-08,4.8,71.5,2014,8,2014-08-01
176,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2014-09,2.87,63.0,2014,9,2014-09-01
177,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2014-10,5.14,51.5,2014,10,2014-10-01
178,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2014-11,1.57,34.0,2014,11,2014-11-01
179,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2014-12,0.86,33.0,2014,12,2014-12-01
180,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2015-01,1.45,21.9,2015,1,2015-01-01
181,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2015-02,1.7,15.7,2015,2,2015-02-01
182,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2015-03,1.08,34.2,2015,3,2015-03-01
183,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2015-04,3.2,48.2,2015,4,2015-04-01
184,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2015-05,4.22,60.2,2015,5,2015-05-01
185,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2015-06,5.21,65.4,2015,6,2015-06-01
186,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2015-07,3.41,70.7,2015,7,2015-07-01
187,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2015-08,4.97,71.6,2015,8,2015-08-01
188,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2015-09,4.74,68.9,2015,9,2015-09-01
189,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2015-10,1.66,54.1,2015,10,2015-10-01
190,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2015-11,4.72,44.7,2015,11,2015-11-01
191,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2015-12,5.4,39.7,2015,12,2015-12-01
192,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2016-01,0.72,24.1,2016,1,2016-01-01
193,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2016-02,1.21,30.4,2016,2,2016-02-01
194,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2016-03,2.46,41.9,2016,3,2016-03-01
195,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2016-04,2.63,45.8,2016,4,2016-04-01
196,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2016-05,5.85,57.7,2016,5,2016-05-01
197,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2016-06,3.57,70.2,2016,6,2016-06-01
198,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2016-07,5.75,74.9,2016,7,2016-07-01
199,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2016-08,4.27,75.4,2016,8,2016-08-01
200,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2016-09,2.46,69.3,2016,9,2016-09-01
201,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2016-10,3.84,56.6,2016,10,2016-10-01
202,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2016-11,1.82,47.1,2016,11,2016-11-01
203,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2016-12,1.61,26.7,2016,12,2016-12-01
204,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2017-01,1.31,28.4,2017,1,2017-01-01
205,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2017-02,0.69,36.5,2017,2,2017-02-01
206,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2017-03,4.56,37.2,2017,3,2017-03-01
207,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2017-04,4.93,51.0,2017,4,2017-04-01
208,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2017-05,5.37,55.8,2017,5,2017-05-01
209,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2017-06,7.18,70.2,2017,6,2017-06-01
210,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2017-07,7.93,72.6,2017,7,2017-07-01
211,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2017-08,1.66,69.9,2017,8,2017-08-01
212,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2017-09,0.75,67.5,2017,9,2017-09-01
213,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2017-10,9.39,56.6,2017,10,2017-10-01
214,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2017-11,1.95,38.5,2017,11,2017-11-01
215,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2017-12,0.58,26.9,2017,12,2017-12-01
216,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2018-01,1.29,23.4,2018,1,2018-01-01
217,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2018-02,4.92,28.0,2018,2,2018-02-01
218,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2018-03,1.39,35.2,2018,3,2018-03-01
219,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2018-04,2.83,38.7,2018,4,2018-04-01
220,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2018-05,8.78,62.3,2018,5,2018-05-01
221,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2018-06,9.75,67.7,2018,6,2018-06-01
222,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2018-07,2.76,74.3,2018,7,2018-07-01
223,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2018-08,5.41,74.5,2018,8,2018-08-01
224,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2018-09,3.67,67.7,2018,9,2018-09-01
225,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2018-10,4.57,51.5,2018,10,2018-10-01
226,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2018-11,3.47,34.7,2018,11,2018-11-01
227,USC00111497,"CHICAGO BOTANIC GARDEN, IL US",2018-12,2.27,32.4,2018,12,2018-12-01
